Name	Version	Format	LastModified	Size	Nodes	Edges	ConnectedComponents	Singletons	MaxNodeDegree	MeanNodeDegree
cido	09-03-2021	JSON	2021-10-22 14:27:30+00:00	7755886	9699	31569	(154, 1, 9503)	143	1794	6.51
cio	2015-03-10	TSV	2021-10-01 23:59:17+00:00	4851	63	121	(12, 1, 51)	10	8	3.84
cio	2015-03-10	JSON	2021-10-01 23:59:18+00:00	82650	63	121	(12, 1, 51)	10	8	3.84
cl	2021-09-09	TSV	2021-10-01 23:59:54+00:00	236959	3783	3716	(1283, 1, 2414)	1229	87	1.96
cl	2021-09-09	JSON	2021-10-01 23:59:53+00:00	3310963	3783	3716	(1283, 1, 2414)	1229	87	1.96
clao	2021-09-27	TSV	2021-10-02 00:00:09+00:00	106287	1565	2683	(36, 1, 1520)	29	349	3.43
clao	2021-09-27	JSON	2021-10-02 00:00:10+00:00	1829480	1565	2683	(36, 1, 1520)	29	349	3.43
clo	2019-02-10	TSV	2021-10-07 19:46:47+00:00	7854191	82905	131355	(238, 1, 82639)	226	21701	3.17
clo	2019-02-10	JSON	2021-10-07 19:46:44+00:00	104359536	82905	131355	(238, 1, 82639)	226	21701	3.17
clo	release	TSV	2021-10-02 00:14:13+00:00	7851937	82905	131355	(239, 1, 82637)	226	21701	3.17
clo	release	JSON	2021-10-02 00:14:10+00:00	104359631	82905	131355	(239, 1, 82637)	226	21701	3.17
clyh	2020-05-29	TSV	2021-10-02 00:14:19+00:00	25659	276	743	(14, 1, 262)	12	58	5.38
clyh	2020-05-29	JSON	2021-10-02 00:14:19+00:00	452207	276	743	(14, 1, 262)	12	58	5.38
cmo	2019-02-19	TSV	2021-10-02 00:14:48+00:00	317243	3068	3736	(25, 1, 3043)	23	27	2.44
cmo	2019-02-19	JSON	2021-10-02 00:14:47+00:00	3592826	3068	3736	(25, 1, 3043)	23	27	2.44
cob	2021-09-13	TSV	2021-10-02 00:14:54+00:00	9535	217	349	(19, 1, 191)	13	21	3.19
cob	2021-09-13	JSON	2021-10-02 00:14:53+00:00	186547	217	349	(19, 1, 191)	13	21	3.19
cro	2019-12-11	TSV	2021-10-15 02:23:39+00:00	20842	181	280	(29, 1, 152)	27	97	3.09
cro	2019-12-11	JSON	2021-10-15 02:23:40+00:00	221268	181	280	(29, 1, 152)	27	97	3.09
cteno	2016-10-19	TSV	2021-10-22 14:28:14+00:00	61780	1027	1728	(128, 1, 834)	111	43	3.36
cteno	2016-10-19	JSON	2021-10-22 14:28:13+00:00	287666	1027	1728	(128, 1, 834)	111	43	3.36
cto	no_version	TSV	2021-10-22 14:28:24+00:00	77605	508	913	(68, 1, 412)	58	45	3.59
cto	no_version	JSON	2021-10-22 14:28:25+00:00	351004	508	913	(68, 1, 412)	58	45	3.59
cvdo	2020-03-05	TSV	2021-10-15 02:24:15+00:00	233						
cvdo	2020-03-05	JSON	2021-10-15 02:24:15+00:00	4						
ddanat	2020-04-13	TSV	2021-10-02 00:15:09+00:00	14843	159	355	(24, 1, 135)	22	21	4.47
